subject,hemi,mask,annotated_feature,correlation
sub-09,left,MT,valence,-0.04430959849890253
sub-09,left,MT,arousal,0.021442509957774854
sub-09,left,MT,pitch,0.004032934060618011
sub-09,left,MT,amplitude,0.020949202241835156
sub-09,left,MT,music,0.005070543462026932
sub-09,left,MT,speaking,-0.012870192620071899
sub-09,left,MT,turn_taking,0.00033633168482282767
sub-09,left,MT,mentalization,-0.004021987367690746
sub-09,left,MT,written_text,0.02084168702951997
sub-09,right,MT,pixel,0.0011789651795255903
sub-09,right,MT,hue,-0.003181497711629375
sub-09,right,MT,face,-0.011917546636112272
sub-09,right,MT,num_agents,0.0046549831906810375
sub-09,right,MT,social,-0.011354308587554708
sub-09,right,MT,valence,-0.01646297155857216
sub-09,right,MT,arousal,0.009980595287350909
sub-09,right,MT,pitch,-0.0005233031181081076
sub-09,right,MT,amplitude,0.017613508989424417
sub-09,right,MT,music,-0.005998665652844073
sub-09,right,MT,speaking,-0.0027825592853185526
sub-09,right,MT,turn_taking,0.00033212503368778315
sub-09,right,MT,mentalization,0.0016278196657295526
sub-09,right,MT,written_text,0.005376179001500902
sub-09,left,STS,pixel,-0.03412120006916844
sub-09,left,STS,hue,0.030250013025714503
sub-09,left,STS,face,-0.00496619100023523
sub-09,left,STS,num_agents,0.014847236261783551
sub-09,left,STS,social,-0.017337357160701995
sub-09,left,STS,valence,-0.05924586772543962
sub-09,left,STS,arousal,-0.010629875104445042
sub-09,left,STS,pitch,0.015842968451700797
sub-09,left,STS,amplitude,0.0002886519950117356
sub-09,left,STS,music,0.016512651979361685
sub-09,left,STS,speaking,-0.022042895526031628
sub-09,left,STS,turn_taking,-0.006783151570284888
sub-09,left,STS,mentalization,-0.022269942082207683
sub-09,left,STS,written_text,-0.011512887307169262
sub-09,right,STS,pixel,-0.005503917393887639
sub-09,right,STS,hue,0.01526148536222751
sub-09,right,STS,face,-0.0014930880113310189
sub-09,right,STS,num_agents,0.006325646764672841
sub-09,right,STS,social,-0.0007533418503866901
sub-09,right,STS,valence,-0.07290539076209186
sub-09,right,STS,arousal,0.007966270831221001
sub-09,right,STS,pitch,0.022349666021728748
sub-09,right,STS,amplitude,0.0010936250238493558
sub-09,right,STS,music,0.00506215066378014
sub-09,right,STS,speaking,-0.007198901673781264
sub-09,right,STS,turn_taking,-0.003069180921077126
sub-09,right,STS,mentalization,-0.015196834489347173
sub-09,right,STS,written_text,-0.002401476158441329
sub-10,left,MT,pixel,0.011025216221816507
sub-10,left,MT,hue,0.014938224042294135
sub-10,left,MT,face,0.012644027694068381
sub-10,left,MT,num_agents,0.00767597572319583
sub-10,left,MT,social,0.010546750360683994
sub-10,left,MT,valence,-0.040505948170132804
sub-10,left,MT,arousal,0.018988336616167792
sub-10,left,MT,pitch,0.022141551229388063
sub-10,left,MT,amplitude,0.0005401752328944112
sub-10,left,MT,music,0.019360860994680706
sub-10,left,MT,speaking,0.00996771682628286
sub-10,left,MT,turn_taking,0.01478863374238593
sub-10,left,MT,mentalization,0.0038746274894191626
sub-10,left,MT,written_text,0.0016572396724642891
sub-10,right,MT,pixel,-0.012056821826178836
sub-10,right,MT,hue,0.027481132223504685
sub-10,right,MT,face,0.012712399379869508
sub-10,right,MT,num_agents,0.01924322806279355
sub-10,right,MT,social,0.004050596034901735
sub-10,right,MT,valence,-0.019136778889457723
sub-10,right,MT,arousal,0.012555103179138643
sub-10,right,MT,pitch,0.008606678660338617
sub-10,right,MT,amplitude,0.012284795035947923
sub-10,right,MT,music,0.023663190309525912
sub-10,right,MT,speaking,0.0059986560948469565
sub-10,right,MT,turn_taking,0.007993742290725947
sub-10,right,MT,mentalization,0.005021946033637197
sub-10,right,MT,written_text,0.004423690131504365
sub-10,left,STS,pixel,-0.005057929148093367
sub-10,left,STS,hue,0.01279155366906789
sub-10,left,STS,face,0.018576039846763596
sub-10,left,STS,num_agents,-0.0010128644641848267
sub-10,left,STS,social,0.019554984418635925
sub-10,left,STS,valence,-0.012630377002201543
sub-10,left,STS,arousal,0.030908339452759996
sub-10,left,STS,pitch,0.0016861611604262671
sub-10,left,STS,amplitude,-0.004383727760722704
sub-10,left,STS,music,0.011607062372988516
sub-10,left,STS,speaking,0.016018328350392186
sub-10,left,STS,turn_taking,0.015181256230060478
sub-10,left,STS,mentalization,0.00784753552601648
sub-10,left,STS,written_text,0.00902989130172032
sub-10,right,STS,pixel,-0.018053932966573767
sub-10,right,STS,hue,0.02773831302899568
sub-10,right,STS,face,0.03366427268427408
sub-10,right,STS,num_agents,0.010071465805823847
sub-10,right,STS,social,0.022276224006642593
sub-10,right,STS,valence,0.0036562532817869305
sub-10,right,STS,arousal,0.01897113442818378
sub-10,right,STS,pitch,-0.006843897078764588
sub-10,right,STS,amplitude,-0.0007921935814942554
sub-10,right,STS,music,0.010798997284436335
