,subject,annotated_feature,region,method,score
451,sub-26,pitch,frontal,cca,0.048595956414396624
452,sub-26,amplitude,MT,cca,0.06725819285116856
453,sub-26,amplitude,STS,cca,0.03067286173533441
454,sub-26,amplitude,temporal,cca,0.04135041868215925
455,sub-26,amplitude,frontal,cca,0.0057609779373869905
456,sub-26,music,MT,cca,0.11561090307617543
457,sub-26,music,STS,cca,0.1026432656749443
458,sub-26,music,temporal,cca,-0.00501245989033392
459,sub-26,music,frontal,cca,0.12182531930119009
460,sub-26,speaking,MT,cca,0.0787091471810887
461,sub-26,speaking,STS,cca,0.04302851760065052
462,sub-26,speaking,temporal,cca,-0.02941385122994189
463,sub-26,speaking,frontal,cca,-0.08735361874616554
464,sub-26,turn taking,MT,cca,-0.0510989700766066
465,sub-26,turn taking,STS,cca,-0.009562530278071546
466,sub-26,turn taking,temporal,cca,0.005717056148724642
467,sub-26,turn taking,frontal,cca,-0.06417290316897603
468,sub-26,mentalization,MT,cca,0.10466651546083398
469,sub-26,mentalization,STS,cca,0.07113487444232658
470,sub-26,mentalization,temporal,cca,0.006970521384190587
471,sub-26,mentalization,frontal,cca,0.06728803827889122
472,sub-26,written text,MT,cca,-0.01826571149545313
473,sub-26,written text,STS,cca,0.037324130893764094
474,sub-26,written text,temporal,cca,-0.020203555523510254
475,sub-26,written text,frontal,cca,-0.06957968691778842
476,sub-28,pixel,MT,cca,-0.11257518830147137
477,sub-28,pixel,STS,cca,0.043365943349436484
478,sub-28,pixel,temporal,cca,0.10493850409252588
479,sub-28,pixel,frontal,cca,0.03878949711984494
480,sub-28,hue,MT,cca,0.11182722869911665
481,sub-28,hue,STS,cca,0.042572089859175447
482,sub-28,hue,temporal,cca,0.061792172738262076
483,sub-28,hue,frontal,cca,0.07231730982902737
484,sub-28,face,MT,cca,-0.07852200644506828
485,sub-28,face,STS,cca,0.02503395338784604
486,sub-28,face,temporal,cca,0.03809730597735257
487,sub-28,face,frontal,cca,0.0545374750977321
488,sub-28,number of agents,MT,cca,-9.882743395142057e-05
489,sub-28,number of agents,STS,cca,-0.04922675197600683
490,sub-28,number of agents,temporal,cca,-0.024568524622578903
491,sub-28,number of agents,frontal,cca,-0.04292866636991257
492,sub-28,social,MT,cca,-0.02454068298087848
493,sub-28,social,STS,cca,-0.06209099734211436
494,sub-28,social,temporal,cca,0.01528873766069403
495,sub-28,social,frontal,cca,0.02337490378400431
496,sub-28,valence,MT,cca,0.06356531752435872
497,sub-28,valence,STS,cca,0.08299492195205471
498,sub-28,valence,temporal,cca,0.18473260915350426
499,sub-28,valence,frontal,cca,0.1558859978793107
500,sub-28,arousal,MT,cca,0.031564100816478424
501,sub-28,arousal,STS,cca,0.05942707537996368
502,sub-28,arousal,temporal,cca,0.12179457887385156
503,sub-28,arousal,frontal,cca,-0.0005985745073153082
504,sub-28,pitch,MT,cca,0.044167339547407744
505,sub-28,pitch,STS,cca,-0.03906514511581742
506,sub-28,pitch,temporal,cca,0.04357182109118725
507,sub-28,pitch,frontal,cca,-0.03081674739002067
508,sub-28,amplitude,MT,cca,0.024285916789412963
509,sub-28,amplitude,STS,cca,0.06229699761997396
510,sub-28,amplitude,temporal,cca,0.07216386959005253
511,sub-28,amplitude,frontal,cca,0.024741430596311044
512,sub-28,music,MT,cca,0.15136280584183534
513,sub-28,music,STS,cca,-0.04701005517860899
514,sub-28,music,temporal,cca,0.08232946862103793
515,sub-28,music,frontal,cca,0.012567132173573326
516,sub-28,speaking,MT,cca,-0.007228150963568681
517,sub-28,speaking,STS,cca,-0.039777067366682385
518,sub-28,speaking,temporal,cca,0.07996460021544154
519,sub-28,speaking,frontal,cca,-0.10421811914755794
520,sub-28,turn taking,MT,cca,0.018392002745003612
521,sub-28,turn taking,STS,cca,0.032668582959736917
522,sub-28,turn taking,temporal,cca,0.07885576616410861
523,sub-28,turn taking,frontal,cca,0.07060939484331223
524,sub-28,mentalization,MT,cca,0.0025931363197325254
525,sub-28,mentalization,STS,cca,0.031596505360587133
526,sub-28,mentalization,temporal,cca,-0.0016053810973203574
527,sub-28,mentalization,frontal,cca,-0.06398346209534367
528,sub-28,written text,MT,cca,0.04150389279230722
529,sub-28,written text,STS,cca,-0.046362190179703375
530,sub-28,written text,temporal,cca,-0.008547459141811875
