subject,annotated_feature,region,method,score
sub-26,hue,MT,cca,0.04015489734389963
sub-26,hue,STS,cca,0.01317395916249644
sub-26,hue,temporal,cca,-0.019176980858207314
sub-26,hue,frontal,cca,0.013054655979041563
sub-26,face,MT,cca,0.07077200309177303
sub-26,face,STS,cca,0.040319978079693855
sub-26,face,temporal,cca,0.06267099210291964
sub-26,face,frontal,cca,0.038399429668887784
sub-26,number of agents,MT,cca,0.011662193760956762
sub-26,number of agents,STS,cca,0.042171783234344964
sub-26,number of agents,temporal,cca,0.06063507220281754
sub-26,number of agents,frontal,cca,0.05880702873967665
sub-26,social,MT,cca,0.0930361044967758
sub-26,social,STS,cca,0.07098841714365474
sub-26,social,temporal,cca,-0.01901345202081859
sub-26,social,frontal,cca,-0.0901195306441798
sub-26,valence,MT,cca,0.10205242660279634
sub-26,valence,STS,cca,0.05751905684860512
sub-26,valence,temporal,cca,0.06755090097690057
sub-26,valence,frontal,cca,0.08696174586774619
sub-26,arousal,MT,cca,0.06539774734238797
sub-26,arousal,STS,cca,0.1132480634995526
sub-26,arousal,temporal,cca,0.035123541983908504
sub-26,arousal,frontal,cca,0.06260948656031788
sub-26,pitch,MT,cca,0.047406965538704784
sub-26,pitch,STS,cca,0.06679769176064285
sub-26,pitch,temporal,cca,-0.015482471911818885
sub-26,pitch,frontal,cca,0.04881703275420346
sub-26,amplitude,MT,cca,0.06785750084436351
sub-26,amplitude,STS,cca,0.03106918585043905
sub-26,amplitude,temporal,cca,0.0411247248717471
sub-26,amplitude,frontal,cca,0.006679257062412858
sub-26,music,MT,cca,0.116206561039782
sub-26,music,STS,cca,0.10318360474404172
sub-26,music,temporal,cca,-0.005146754014656562
sub-26,music,frontal,cca,0.1204358391219976
sub-26,speaking,MT,cca,0.07856084084181054
sub-26,speaking,STS,cca,0.04312747959656264
sub-26,speaking,temporal,cca,-0.029842759319532397
sub-26,speaking,frontal,cca,-0.0864397107107298
sub-26,turn taking,MT,cca,-0.051235318505905944
sub-26,turn taking,STS,cca,-0.009852001294349821
sub-26,turn taking,temporal,cca,0.005916628312775551
sub-26,turn taking,frontal,cca,-0.06410562832732888
sub-26,mentalization,MT,cca,0.104827103009892
sub-26,mentalization,STS,cca,0.0712951138714649
sub-26,mentalization,temporal,cca,0.006887042705319746
sub-26,mentalization,frontal,cca,0.0673364531277832
sub-26,written text,MT,cca,-0.018265711495453463
sub-26,written text,STS,cca,0.03730888191203123
sub-26,written text,temporal,cca,-0.02002491841300258
sub-26,written text,frontal,cca,-0.06932922461256238
sub-28,pixel,MT,cca,-0.11208267030575851
sub-28,pixel,STS,cca,0.044466736517124475
sub-28,pixel,temporal,cca,0.10493379078978711
sub-28,pixel,frontal,cca,0.03878949711984516
sub-28,hue,MT,cca,0.11179607737134165
sub-28,hue,STS,cca,0.04252488880018279
sub-28,hue,temporal,cca,0.061809559007122775
sub-28,hue,frontal,cca,0.07231730982902747
sub-28,face,MT,cca,-0.07850344297140568
sub-28,face,STS,cca,0.025005027712410664
sub-28,face,temporal,cca,0.03789070147654947
sub-28,face,frontal,cca,0.0607515989576922
sub-28,number of agents,MT,cca,0.0005598169036844736
sub-28,number of agents,STS,cca,-0.048910267302862076
sub-28,number of agents,temporal,cca,-0.02449996691112095
sub-28,number of agents,frontal,cca,-0.04229351569067317
sub-28,social,MT,cca,-0.022805241475985394
sub-28,social,STS,cca,-0.06207467649513063
sub-28,social,temporal,cca,0.014943950580021691
sub-28,social,frontal,cca,0.028305137904113466
sub-28,valence,MT,cca,0.06290730999623191
sub-28,valence,STS,cca,0.08384695971512106
sub-28,valence,temporal,cca,0.18472418859715165
sub-28,valence,frontal,cca,0.15631415006596155
sub-28,arousal,MT,cca,0.03158200480601388
sub-28,arousal,STS,cca,0.05974681097013277
sub-28,arousal,temporal,cca,0.12158420157186345
sub-28,arousal,frontal,cca,0.011184402270844695
sub-28,pitch,MT,cca,0.046216328928187965
sub-28,pitch,STS,cca,-0.038973481052681544
sub-28,pitch,temporal,cca,0.04425583619511504
sub-28,pitch,frontal,cca,-0.02786353444733165
sub-28,amplitude,MT,cca,0.024285916789412852
sub-28,amplitude,STS,cca,0.06217418166632105
sub-28,amplitude,temporal,cca,0.07221925652882884
sub-28,amplitude,frontal,cca,0.029032083390157504
sub-28,music,MT,cca,0.15234503540168637
sub-28,music,STS,cca,-0.04701005517860888
sub-28,music,temporal,cca,0.08226716173552504
sub-28,music,frontal,cca,0.017022726994506597
sub-28,speaking,MT,cca,-0.007228150963568947
sub-28,speaking,STS,cca,-0.03996740071078244
sub-28,speaking,temporal,cca,0.08030523675699688
sub-28,speaking,frontal,cca,-0.10473251584078869
sub-28,turn taking,MT,cca,0.018745688011143912
sub-28,turn taking,STS,cca,0.032678616034432714
sub-28,turn taking,temporal,cca,0.078846789856446
sub-28,turn taking,frontal,cca,0.06979992192682771
sub-28,mentalization,MT,cca,0.0025931363197318367
sub-28,mentalization,STS,cca,0.0322115078819055
sub-28,mentalization,temporal,cca,-0.0016609318375414794
sub-28,mentalization,frontal,cca,-0.06105800663743777
sub-28,written text,MT,cca,0.040915550410586435
sub-28,written text,STS,cca,-0.04676629914627643
sub-28,written text,temporal,cca,-0.00854953080342713
sub-28,written text,frontal,cca,0.05256566520169601
sub-32,pixel,MT,cca,0.13341504868666046
sub-32,pixel,STS,cca,0.11620357417734853
sub-32,pixel,temporal,cca,0.1473499140990524
sub-32,pixel,frontal,cca,-0.03537934875106032
sub-32,hue,MT,cca,-0.04280649550327727
sub-32,hue,STS,cca,0.0440047249728948
sub-32,hue,temporal,cca,0.08786151104784641
sub-32,hue,frontal,cca,-0.05105580065042137
