subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-10,music,STS,,cca,3.1622776601683795e-05,0.03162277660168379,1
sub-10,speaking,MT,,cca,1.0,0.001,2
sub-10,speaking,STS,,cca,0.1,0.001,1
sub-10,turn_taking,MT,,cca,1e-05,1e-05,2
sub-10,turn_taking,STS,,cca,0.31622776601683794,0.1,1
sub-10,mentalization,MT,,cca,1e-05,0.0031622776601683794,2
sub-10,mentalization,STS,,cca,0.0001,0.0001,1
sub-10,written_text,MT,,cca,1e-05,0.00031622776601683794,2
sub-10,written_text,STS,,cca,0.1,0.31622776601683794,1
sub-14,pixel,MT,,cca,0.01,0.01,1
sub-14,pixel,STS,,cca,1e-05,1e-05,2
sub-14,hue,MT,,cca,0.01,0.01,1
sub-14,hue,STS,,cca,1e-05,3.1622776601683795e-05,2
sub-14,face,MT,,cca,0.01,0.03162277660168379,1
sub-14,face,STS,,cca,1e-05,0.00031622776601683794,2
sub-14,num_agents,MT,,cca,1e-05,0.0001,1
sub-14,num_agents,STS,,cca,1e-05,0.03162277660168379,2
sub-14,social,MT,,cca,0.0031622776601683794,0.31622776601683794,1
sub-14,social,STS,,cca,1e-05,0.1,2
sub-14,valence,MT,,cca,0.01,0.31622776601683794,1
sub-14,valence,STS,,cca,1.0,0.03162277660168379,2
sub-14,arousal,MT,,cca,0.00031622776601683794,0.1,1
sub-14,arousal,STS,,cca,1.0,0.31622776601683794,2
sub-14,pitch,MT,,cca,0.01,0.03162277660168379,1
sub-14,pitch,STS,,cca,1.0,0.0031622776601683794,2
sub-14,amplitude,MT,,cca,0.01,0.31622776601683794,1
sub-14,amplitude,STS,,cca,1.0,0.001,2
sub-14,music,MT,,cca,0.1,0.0031622776601683794,1
sub-14,music,STS,,cca,1e-05,0.001,2
sub-14,speaking,MT,,cca,0.0001,0.0001,1
sub-14,speaking,STS,,cca,1e-05,0.03162277660168379,2
sub-14,turn_taking,MT,,cca,1e-05,1.0,1
sub-14,turn_taking,STS,,cca,1e-05,0.001,2
sub-14,mentalization,MT,,cca,0.01,0.0001,1
